City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
289,Carupano,VE,81.52,scattered clouds,10.6678,-63.2585,Hotel La dorada
292,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
295,Atar,MR,83.64,clear sky,20.5169,-13.0499,Oumou Elghoura
296,Urucara,BR,80.89,light rain,-2.5364,-57.76,Hotel japa
297,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
299,Coahuayana,MX,86.0,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
300,Siayan,PH,75.99,overcast clouds,8.2667,123.1,
301,Hobyo,SO,83.98,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
303,Cairns,AU,75.2,moderate rain,-16.9167,145.7667,Mantra Trilogy Cairns
306,Bubaque,GW,78.31,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
307,Ibra,OM,78.03,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
309,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
310,Kalabagh,PK,81.91,clear sky,32.965,71.557,Paracha nimko shop
318,Chetumal,MX,90.0,scattered clouds,18.5,-88.3,Hotel & Suites Arges
323,The Valley,AI,82.4,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
324,Phan Thiet,VN,78.78,broken clouds,10.9333,108.1,Hotel Saigon-PT
331,Aragarcas,BR,86.0,clear sky,-15.8975,-52.2508,Hotel Pousada Tropical
338,Gamba,GA,78.3,light rain,-2.65,10.0,
342,Samarai,PG,82.94,overcast clouds,-10.6167,150.6667,Nuli Sapi
351,Salalah,OM,84.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
358,Kearney,US,77.0,clear sky,40.6995,-99.0815,Holiday Inn Kearney
360,Malegaon,IN,87.73,overcast clouds,20.55,74.5333,Dinesh Lodge
370,Blythe,US,89.6,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
377,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
378,Son Tay,VN,78.8,mist,21.1378,105.505,Khách Sạn Đông Thành
