City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
189,Manitouwadge,49.1215,-85.8403,35.6,55,1,9.22,CA,clear sky,2021-04-25 21:25:27
190,Liepaja,56.5419,21.0367,35.6,87,90,9.22,LV,overcast clouds,2021-04-25 21:25:27
191,Sakakah,29.9697,40.2064,87.8,13,75,14.97,SA,broken clouds,2021-04-25 21:25:28
192,Vestmannaeyjar,63.4427,-20.2734,45.03,81,0,19.26,IS,clear sky,2021-04-25 21:25:28
193,Tiksi,71.6872,128.8694,25.41,96,100,0.07,RU,light snow,2021-04-25 21:25:28
194,Amontada,-3.3617,-39.8317,78.35,79,35,6.22,BR,scattered clouds,2021-04-25 21:25:29
195,Santa Isabel Do Rio Negro,-0.4139,-65.0192,82.31,85,92,2.46,BR,overcast clouds,2021-04-25 21:25:29
196,Sitka,57.0531,-135.33,57.2,33,20,3.44,US,few clouds,2021-04-25 21:22:20
197,Riverton,40.5219,-111.9391,61.0,58,40,11.5,US,scattered clouds,2021-04-25 21:25:30
198,Whitehorse,60.7161,-135.0538,54.0,20,1,12.66,CA,clear sky,2021-04-25 21:20:59
199,Otofuke,42.9917,143.2003,30.29,71,83,2.01,JP,broken clouds,2021-04-25 21:25:31
200,Harrogate,53.9908,-1.5373,42.8,75,11,8.05,GB,few clouds,2021-04-25 21:25:31
201,Gazanjyk,39.2446,55.5154,76.24,27,3,4.61,TM,clear sky,2021-04-25 21:25:31
202,Rudbar,30.15,62.6,79.84,16,0,6.8,AF,clear sky,2021-04-25 21:25:32
203,Walvis Bay,-22.9575,14.5053,62.01,88,15,1.14,NA,few clouds,2021-04-25 21:25:32
204,Lakes Entrance,-37.8811,147.981,48.99,90,16,9.82,AU,few clouds,2021-04-25 21:25:33
205,Palembang,-2.9167,104.7458,73.22,96,61,3.29,ID,broken clouds,2021-04-25 21:25:33
206,Kruisfontein,-34.0033,24.7314,72.55,37,100,7.27,ZA,overcast clouds,2021-04-25 21:22:32
207,Esperance,-33.8667,121.9,59.0,58,0,17.27,AU,clear sky,2021-04-25 21:25:34
208,Baykit,61.67,96.37,25.54,89,46,6.29,RU,scattered clouds,2021-04-25 21:25:34
209,Atambua,-9.1061,124.8925,68.81,83,17,5.26,ID,few clouds,2021-04-25 21:25:34
210,Tabou,4.423,-7.3528,79.41,81,100,3.42,CI,overcast clouds,2021-04-25 21:25:35
211,Mount Isa,-20.7333,139.5,69.8,60,5,6.91,AU,clear sky,2021-04-25 21:21:18
212,Adre,13.4667,22.2,82.9,31,85,4.61,TD,overcast clouds,2021-04-25 21:25:35
213,Havoysund,70.9963,24.6622,33.8,93,75,12.66,NO,snow,2021-04-25 21:22:11
214,Iracoubo,5.4802,-53.2011,78.62,87,67,11.95,GF,broken clouds,2021-04-25 21:25:36
215,Aykhal,66.0,111.5,4.95,94,100,25.19,RU,overcast clouds,2021-04-25 21:25:37
216,Faanui,-16.4833,-151.75,81.05,64,4,2.89,PF,clear sky,2021-04-25 21:25:37
217,Almaznyy,48.0448,40.045,46.4,49,0,6.71,RU,clear sky,2021-04-25 21:25:37
218,Lancaster,40.2504,-76.2499,64.0,48,75,11.5,US,broken clouds,2021-04-25 21:24:05
